timestamp,value,label
1309478401.0,0.4010481,0
1309482001.0,0.39271888,0
1309485601.0,0.30999613,0
1309489201.0,0.21293855,0
1309492801.0,0.2058009,0
1309496401.0,0.25586745,0
1309500001.0,0.3066305,0
1309503601.0,0.29600203,0
1309507201.0,0.53044015,0
1309510801.0,0.7902495,0
1309514401.0,0.7439068,0
1309518001.0,0.73691976,0
1309521601.0,0.69758224,0
1309525201.0,0.68734187,0
1309528801.0,0.51744795,0
1309532401.0,0.5190267,0
1309536001.0,0.5141334,0
1309539601.0,0.41727564,0
1309543201.0,0.24845742,0
1309546801.0,0.3093605,0
1309550401.0,0.2730679,0
1309554001.0,0.264461,0
1309557601.0,0.23187974,0
1309561201.0,0.2615525,0
1309564801.0,0.32481563,0
1309568401.0,0.25132066,0
1309572001.0,0.21464613,0
1309575601.0,0.16628027,0
1309579201.0,0.21181515,0
1309582801.0,0.30321708,0
1309586401.0,0.28789797,0
1309590001.0,0.3967157,0
1309593601.0,0.5884155,0
1309597201.0,0.5933777,0
1309600801.0,0.7138701,0
1309604401.0,0.78752524,0
1309608001.0,0.7369213,0
1309611601.0,0.68206203,0
1309615201.0,0.7226617,0
1309618801.0,0.52933943,0
1309622401.0,0.40391845,0
1309626001.0,0.3462855,0
1309629601.0,0.27651563,0
1309633201.0,0.27363372,0
1309636801.0,0.34863305,0
1309640401.0,0.28914824,0
1309644001.0,0.32168692,0
1309647601.0,0.26004097,0
1309651201.0,0.20486294,0
1309654801.0,0.20741968,0
1309658401.0,0.17329802,0
1309662001.0,0.13220264,0
1309665601.0,0.1708956,0
1309669201.0,0.27931562,0
1309672801.0,0.24773458,0
1309676401.0,0.34778896,0
1309680001.0,0.67704,0
1309683601.0,0.62850606,0
1309687201.0,0.60075444,0
1309690801.0,0.5955768,0
1309694401.0,0.718312,0
1309698001.0,0.6364285,0
1309701601.0,0.56149006,0
1309705201.0,0.4398264,0
1309708801.0,0.36460063,0
1309712401.0,0.30467182,0
1309716001.0,0.26332015,0
1309719601.0,0.24291524,0
1309723201.0,0.24134637,0
1309726801.0,0.2082144,0
1309730401.0,0.2024156,0
1309734001.0,0.23124301,0
1309737601.0,0.17994167,0
1309741201.0,0.19267339,0
1309744801.0,0.16633548,0
